frame_idx,time_sec,type,track_id,score,bbox,contributors,image_path
615,24.6,loitering,1,55.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 24.6, ""bbox"": [174.92486925743498, 55.54830188429483, 106.63862704827272, 293.81571248581895], ""center"": [228.24418278157134, 202.4561581272043]}]",data/output/frames/09_frame000615_loitering_track1_20250823_210753_804.jpg
645,25.8,loitering,1,57.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 25.8, ""bbox"": [178.73432060020906, 54.533691423878224, 103.53926218859674, 296.7879324476834], ""center"": [230.50395169450744, 202.9276576477199]}]",data/output/frames/09_frame000645_loitering_track1_20250823_210755_248.jpg
675,27.0,loitering,1,58.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 27.0, ""bbox"": [205.047530027019, 55.095721175839756, 109.12489673502051, 298.0232958203168], ""center"": [259.60997839452926, 204.10736908599813]}]",data/output/frames/09_frame000675_loitering_track1_20250823_210756_688.jpg
705,28.2,loitering,1,60.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 28.2, ""bbox"": [207.96559151774278, 55.27925421718005, 103.96017793105914, 298.5147897745506], ""center"": [259.9456804832723, 204.53664910445536]}]",data/output/frames/09_frame000705_loitering_track1_20250823_210758_132.jpg
735,29.4,loitering,1,61.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 29.4, ""bbox"": [200.19586090272693, 56.75939169725092, 111.80337647312203, 296.9632620775464], ""center"": [256.09754913928793, 205.24102273602412]}]",data/output/frames/09_frame000735_loitering_track1_20250823_210759_571.jpg
765,30.6,loitering,1,63.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 30.6, ""bbox"": [199.80397171019268, 57.524849405719436, 109.60786830398331, 296.28126497100476], ""center"": [254.60790586218434, 205.66548189122182]}]",data/output/frames/09_frame000765_loitering_track1_20250823_210801_002.jpg
795,31.8,loitering,1,64.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 31.8, ""bbox"": [197.60452195001739, 57.62739058373197, 108.57754552881568, 295.9888748410307], ""center"": [251.89329471442522, 205.6218280042473]}]",data/output/frames/09_frame000795_loitering_track1_20250823_210802_437.jpg
825,33.0,loitering,1,66.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 33.0, ""bbox"": [197.6627728675369, 57.694452658045364, 106.64153050157215, 295.94578698304537], ""center"": [250.98353811832297, 205.66734614956806]}]",data/output/frames/09_frame000825_loitering_track1_20250823_210803_896.jpg
855,34.2,loitering,1,67.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 34.2, ""bbox"": [196.00935599530376, 57.512793934456035, 105.29011775983207, 296.2725939556985], ""center"": [248.6544148752198, 205.64909091230527]}]",data/output/frames/09_frame000855_loitering_track1_20250823_210805_331.jpg
885,35.4,loitering,1,69.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 35.4, ""bbox"": [196.05034629664732, 57.86453784567631, 108.58077881425953, 295.7769740501182], ""center"": [250.34073570377709, 205.75302487073543]}]",data/output/frames/09_frame000885_loitering_track1_20250823_210806_775.jpg
900,36.0,unusual,,54.86,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.740000009536743, ""mean_magnitude"": 0.6899999976158142, ""baseline_mean"": 0.4000000059604645, ""baseline_std"": 0.10999999940395355, ""num_regions"": 7, ""total_area"": 51109.0}]",data/output/frames/09_frame000900_unusual_trackNone_20250823_210807_501.jpg
915,36.6,loitering,1,70.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 36.6, ""bbox"": [197.08505865917016, 58.61940311530761, 110.3423337878529, 294.7871259427694], ""center"": [252.2562255530966, 206.01296608669233]}]",data/output/frames/09_frame000915_loitering_track1_20250823_210808_221.jpg
945,37.8,loitering,1,72.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 37.8, ""bbox"": [199.74589269369713, 58.25433093220898, 95.97240520384031, 295.21411987888655], ""center"": [247.73209529561728, 205.86139087165225]}]",data/output/frames/09_frame000945_loitering_track1_20250823_210809_656.jpg
948,37.92,unusual,,53.9,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.690000057220459, ""mean_magnitude"": 0.6000000238418579, ""baseline_mean"": 0.3199999928474426, ""baseline_std"": 0.10999999940395355, ""num_regions"": 5, ""total_area"": 61944.0}]",data/output/frames/09_frame000948_unusual_trackNone_20250823_210809_806.jpg
975,39.0,loitering,1,73.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 39.0, ""bbox"": [197.79851667884887, 58.252820374034606, 98.55080061818276, 295.5383187718292], ""center"": [247.07391698794027, 206.0219797599492]}]",data/output/frames/09_frame000975_loitering_track1_20250823_210811_096.jpg
1005,40.2,loitering,1,75.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 40.2, ""bbox"": [196.63041665512227, 57.8479533803651, 96.59096396384308, 295.9851211961947], ""center"": [244.92589863704382, 205.84051397846247]}]",data/output/frames/09_frame001005_loitering_track1_20250823_210812_530.jpg
1035,41.4,loitering,1,76.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 41.4, ""bbox"": [196.87159158091703, 58.56720876593437, 95.56639081777159, 295.29364080376814], ""center"": [244.65478698980283, 206.21402916781844]}]",data/output/frames/09_frame001035_loitering_track1_20250823_210813_955.jpg
1065,42.6,loitering,1,78.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 42.6, ""bbox"": [198.59471822106627, 58.17218786799228, 94.0683777115229, 295.61274306590695], ""center"": [245.62890707682772, 205.97855940094576]}]",data/output/frames/09_frame001065_loitering_track1_20250823_210815_426.jpg
1095,43.8,loitering,1,79.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 43.8, ""bbox"": [195.4952695424192, 58.42629560829542, 97.34559528166389, 295.3017455430993], ""center"": [244.16806718325114, 206.07716837984506]}]",data/output/frames/09_frame001095_loitering_track1_20250823_210816_900.jpg
1098,43.92,loitering,99,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 99, ""dwell_seconds"": 15.0, ""bbox"": [460.4814425524796, 75.17298750984031, 67.18659238607984, 201.50556345290653], ""center"": [494.07473874551954, 175.92576923629358]}]",data/output/frames/09_frame001098_loitering_track99_20250823_210817_049.jpg
1121,44.84,unusual,,53.52,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.68, ""mean_magnitude"": 0.550000011920929, ""baseline_mean"": 0.28999999165534973, ""baseline_std"": 0.1, ""num_regions"": 8, ""total_area"": 67081.0}]",data/output/frames/09_frame001121_unusual_trackNone_20250823_210818_231.jpg
1125,45.0,loitering,1,81.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 45.0, ""bbox"": [194.9638581623974, 58.990912259477625, 97.08306908789744, 294.5878887155838], ""center"": [243.50539270634613, 206.28485661726953]}]",data/output/frames/09_frame001125_loitering_track1_20250823_210818_435.jpg
1155,46.2,loitering,1,82.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 46.2, ""bbox"": [196.18876224304063, 58.167392608472916, 96.19245499174825, 295.45769183307385], ""center"": [244.28498973891476, 205.89623852500984]}]",data/output/frames/09_frame001155_loitering_track1_20250823_210819_908.jpg
